                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.57945,                0.46896,                  1.042,                0.99801,                      1,                  0.995,                0.84199,                0.59972,                0.56824,                 1.2173,              0.0013268,              0.0013268,              0.0013268
                     37,                0.55787,                0.48019,                 1.0767,                0.99842,                      1,                  0.995,                0.86144,                0.58211,                0.50249,                 1.1701,               0.001307,               0.001307,               0.001307
                     38,                0.58252,                0.47729,                 1.0749,                0.99863,                      1,                  0.995,                0.85809,                0.53211,                0.44969,                 1.1301,              0.0012872,              0.0012872,              0.0012872
                     39,                0.52771,                0.45805,                 1.0534,                0.99839,                      1,                  0.995,                0.87987,                 0.5588,                0.45681,                 1.1298,              0.0012674,              0.0012674,              0.0012674
                     40,                0.59309,                0.48127,                 1.1069,                0.99774,                      1,                  0.995,                0.79042,                0.66755,                0.59327,                 1.2215,              0.0012476,              0.0012476,              0.0012476
                     41,                0.57137,                0.47874,                 1.0839,                0.99812,                      1,                  0.995,                0.72286,                0.85891,                0.75342,                 1.3822,              0.0012278,              0.0012278,              0.0012278
                     42,                0.56552,                0.49551,                 1.0714,                0.99655,                      1,                  0.995,                0.67652,                 1.2251,                0.80244,                 1.8492,               0.001208,               0.001208,               0.001208
                     43,                0.68666,                0.49929,                 1.1786,                0.99844,                      1,                  0.995,                0.77128,                 0.6584,                0.55707,                  1.259,              0.0011882,              0.0011882,              0.0011882
                     44,                0.55047,                0.46485,                 1.1121,                0.99854,                      1,                  0.995,                0.86602,                0.43718,                0.44871,                 1.0175,              0.0011684,              0.0011684,              0.0011684
                     45,                0.51617,                0.43076,                 1.0505,                0.99855,                      1,                  0.995,                0.90001,                0.42186,                0.40361,                  1.004,              0.0011486,              0.0011486,              0.0011486
                     46,                0.51308,                0.49047,                 1.0413,                0.99771,                      1,                  0.995,                 0.8521,                 0.5318,                0.45799,                 1.0986,              0.0011288,              0.0011288,              0.0011288
                     47,                 0.5739,                0.48101,                 1.1384,                0.99842,                      1,                  0.995,                0.84335,                 0.6112,                0.39276,                 1.1943,               0.001109,               0.001109,               0.001109
                     48,                0.50836,                0.40031,                 1.0277,                0.99834,                      1,                  0.995,                0.85365,                0.56212,                0.44506,                  1.139,              0.0010892,              0.0010892,              0.0010892
                     49,                0.51427,                0.39983,                 1.0144,                0.99827,                      1,                  0.995,                0.82317,                0.62837,                0.44576,                 1.2362,              0.0010694,              0.0010694,              0.0010694
                     50,                0.52238,                 0.4693,                 1.0712,                0.99818,                      1,                  0.995,                0.77224,                0.70498,                0.47234,                 1.3219,              0.0010496,              0.0010496,              0.0010496
                     51,                0.50079,                0.39964,                  1.017,                0.99847,                      1,                  0.995,                0.86283,                0.50813,                0.38433,                 1.0945,              0.0010298,              0.0010298,              0.0010298
                     52,                0.53199,                0.42183,                 1.0357,                0.99864,                      1,                  0.995,                0.87113,                0.50787,                0.38544,                 1.0931,                0.00101,                0.00101,                0.00101
                     53,                0.48473,                0.38191,                 1.0191,                0.99865,                      1,                  0.995,                0.85198,                  0.554,                0.39788,                 1.1556,              0.0009902,              0.0009902,              0.0009902
                     54,                0.71911,                0.54034,                 1.2659,                0.99865,                      1,                  0.995,                0.83496,                0.57886,                0.43091,                 1.1963,              0.0009704,              0.0009704,              0.0009704
                     55,                0.52257,                0.45328,                 1.0639,                0.99862,                      1,                  0.995,                0.85557,                0.51655,                0.38678,                 1.1202,              0.0009506,              0.0009506,              0.0009506
                     56,                0.52396,                0.40219,                 1.0575,                0.99854,                      1,                  0.995,                0.85418,                0.57579,                0.39769,                 1.1616,              0.0009308,              0.0009308,              0.0009308
                     57,                0.54044,                 0.4122,                 1.0596,                0.99854,                      1,                  0.995,                0.82451,                0.66328,                0.49503,                 1.2171,               0.000911,               0.000911,               0.000911
                     58,                0.49816,                0.44475,                 1.0672,                0.99852,                      1,                  0.995,                 0.8155,                0.68492,                 0.5517,                 1.2324,              0.0008912,              0.0008912,              0.0008912
                     59,                0.50299,                0.38157,                 1.0999,                0.99859,                      1,                  0.995,                0.81037,                0.66625,                0.51642,                 1.2161,              0.0008714,              0.0008714,              0.0008714
                     60,                0.51498,                0.40189,                 1.0701,                0.99867,                      1,                  0.995,                0.86397,                0.55732,                0.44138,                  1.112,              0.0008516,              0.0008516,              0.0008516
                     61,                0.43602,                0.37544,                0.96663,                0.99867,                      1,                  0.995,                0.86943,                0.58354,                0.45723,                 1.1364,              0.0008318,              0.0008318,              0.0008318
                     62,                0.54299,                0.40688,                 1.0907,                0.99862,                      1,                  0.995,                0.81383,                0.64782,                0.45183,                 1.1981,               0.000812,               0.000812,               0.000812
                     63,                0.48769,                0.41617,                 1.0634,                0.99856,                      1,                  0.995,                0.81383,                0.63581,                 0.4288,                 1.2216,              0.0007922,              0.0007922,              0.0007922
                     64,                0.44517,                0.41872,                 1.0514,                0.99852,                      1,                  0.995,                0.83379,                0.62966,                 0.4366,                  1.222,              0.0007724,              0.0007724,              0.0007724
                     65,                0.46724,                0.38374,                 1.0447,                0.99858,                      1,                  0.995,                 0.8519,                0.59838,                0.42999,                 1.1867,              0.0007526,              0.0007526,              0.0007526
                     66,                 0.5199,                0.37703,                 1.0182,                0.99861,                      1,                  0.995,                0.85555,                0.56933,                0.39941,                 1.1412,              0.0007328,              0.0007328,              0.0007328
                     67,                0.42974,                0.34895,                  0.982,                0.99861,                      1,                  0.995,                 0.8548,                0.46244,                0.33274,                 1.0737,               0.000713,               0.000713,               0.000713
                     68,                0.46936,                0.35764,                 1.0275,                 0.9986,                      1,                  0.995,                0.84042,                0.50554,                0.31604,                 1.1298,              0.0006932,              0.0006932,              0.0006932
                     69,                0.43407,                0.34874,                 1.0453,                0.99862,                      1,                  0.995,                0.83038,                0.50823,                0.33104,                 1.1198,              0.0006734,              0.0006734,              0.0006734
                     70,                0.49281,                 0.4066,                 1.0687,                0.99859,                      1,                  0.995,                 0.8333,                0.57552,                0.40322,                 1.1696,              0.0006536,              0.0006536,              0.0006536
                     71,                  0.483,                0.35846,                 1.0137,                 0.9984,                      1,                  0.995,                0.81945,                0.55854,                0.40167,                 1.1667,              0.0006338,              0.0006338,              0.0006338
                     72,                0.46744,                0.33976,                 1.0513,                0.99845,                      1,                  0.995,                0.79563,                0.57163,                0.42176,                  1.205,               0.000614,               0.000614,               0.000614
                     73,                0.52414,                0.52066,                 1.1447,                0.99851,                      1,                  0.995,                 0.8027,                0.55518,                0.41254,                 1.1862,              0.0005942,              0.0005942,              0.0005942
                     74,                0.46986,                0.34621,                 1.0293,                0.99859,                      1,                  0.995,                0.80611,                0.54923,                0.36932,                 1.1687,              0.0005744,              0.0005744,              0.0005744
                     75,                0.41304,                 0.3304,                0.98504,                 0.9986,                      1,                  0.995,                0.81183,                0.57875,                0.35967,                 1.2116,              0.0005546,              0.0005546,              0.0005546
                     76,                0.45532,                 0.3341,                 1.0028,                0.99861,                      1,                  0.995,                0.85723,                0.50569,                0.33006,                 1.1303,              0.0005348,              0.0005348,              0.0005348
                     77,                0.42999,                0.36553,                0.97323,                 0.9986,                      1,                  0.995,                0.87418,                0.48057,                0.32086,                 1.0836,               0.000515,               0.000515,               0.000515
                     78,                0.52989,                0.33856,                 1.1949,                0.99858,                      1,                  0.995,                 0.8664,                0.51613,                0.31593,                 1.0885,              0.0004952,              0.0004952,              0.0004952
                     79,                0.44393,                0.41423,                 1.0057,                0.99858,                      1,                  0.995,                0.81968,                0.55115,                0.33822,                 1.1345,              0.0004754,              0.0004754,              0.0004754
                     80,                0.45747,                0.34921,                 1.0294,                0.99847,                      1,                  0.995,                0.86289,                0.49537,                0.30575,                 1.1117,              0.0004556,              0.0004556,              0.0004556
                     81,                0.68332,                0.64975,                 1.2361,                 0.9984,                      1,                  0.995,                0.87793,                0.47622,                 0.3009,                 1.0934,              0.0004358,              0.0004358,              0.0004358
                     82,                0.44798,                0.31943,                 1.0293,                0.99858,                      1,                  0.995,                0.89515,                0.45157,                0.30026,                 1.0453,               0.000416,               0.000416,               0.000416
                     83,                0.39195,                 0.3133,                0.95844,                0.99859,                      1,                  0.995,                0.88749,                0.45491,                0.29084,                 1.0257,              0.0003962,              0.0003962,              0.0003962
                     84,                0.88373,                0.61978,                 1.5628,                0.99862,                      1,                  0.995,                0.87936,                 0.4605,                0.28082,                 1.0233,              0.0003764,              0.0003764,              0.0003764
                     85,                0.39546,                0.28926,                0.96824,                 0.9986,                      1,                  0.995,                0.87471,                0.45235,                0.28652,                 1.0275,              0.0003566,              0.0003566,              0.0003566
                     86,                0.48354,                0.32001,                 1.0957,                0.99854,                      1,                  0.995,                0.87871,                0.45719,                0.28744,                 1.0471,              0.0003368,              0.0003368,              0.0003368
                     87,                0.42398,                 0.3052,                0.97977,                0.99858,                      1,                  0.995,                0.87801,                0.43855,                0.29045,                 1.0259,               0.000317,               0.000317,               0.000317
